2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  Controller:70 - Player is moving Left
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  Controller:66 - Player is moving Down
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:08 INFO  GamingEngine:283 - There is Block
